reaction,reaction_normalized,custom_group,custom_group_label,mapping_basis
Blood creatine phosphokinase increased,Blood creatine phosphokinase increased,laboratory,Laboratory and investigation,rule
Ventricular arrhythmia,Ventricular arrhythmia,cardiovascular,Cardiovascular,rule
Diverticulitis intestinal haemorrhagic,Diverticulitis intestinal haemorrhagic,laboratory,Laboratory and investigation,rule
Renal impairment neonatal,Renal impairment neonatal,pregnancy,Pregnancy and perinatal,rule
Renal pain,Renal pain,renal_urinary,Renal and urinary,rule
Stent placement,Stent placement,device,Device and procedure-related,rule
Blood glucose increased,Blood glucose increased,laboratory,Laboratory and investigation,rule
Invasive ductal breast carcinoma,Invasive ductal breast carcinoma,neoplasm,Neoplasms,rule
Lip ulceration,Lip ulceration,gastrointestinal,Gastrointestinal,rule
Photophobia,Photophobia,psychiatric,Psychiatric and behavioural,rule
Pregnancy,Pregnancy,pregnancy,Pregnancy and perinatal,rule
Psychomotor retardation,Psychomotor retardation,other,Other / manual review,fallback
Cystitis,Cystitis,renal_urinary,Renal and urinary,rule
Gastrointestinal haemorrhage,Gastrointestinal haemorrhage,laboratory,Laboratory and investigation,rule
Abscess,Abscess,other,Other / manual review,fallback
Product dispensing error,Product dispensing error,medication_error,Medication errors and use issues,rule
Caesarean section,Caesarean section,other,Other / manual review,fallback
Emotional disorder,Emotional disorder,other,Other / manual review,fallback
Right ventricular hypertrophy,Right ventricular hypertrophy,cardiovascular,Cardiovascular,rule
Mitochondrial enzyme deficiency,Mitochondrial enzyme deficiency,other,Other / manual review,fallback
Blood urine present,Blood urine present,laboratory,Laboratory and investigation,rule
Acute left ventricular failure,Acute left ventricular failure,cardiovascular,Cardiovascular,rule
Motor dysfunction,Motor dysfunction,other,Other / manual review,fallback
Seborrhoeic keratosis,Seborrhoeic keratosis,other,Other / manual review,fallback
Diverticulum intestinal,Diverticulum intestinal,laboratory,Laboratory and investigation,rule
Muscle oedema,Muscle oedema,dermatological,Skin and subcutaneous tissue,rule
Behcet^s syndrome,Behcet's syndrome,other,Other / manual review,fallback
Disease recurrence,Disease recurrence,other,Other / manual review,fallback
Episcleritis,Episcleritis,other,Other / manual review,fallback
Blood chloride decreased,Blood chloride decreased,laboratory,Laboratory and investigation,rule
Hyperlactacidaemia,Hyperlactacidaemia,other,Other / manual review,fallback
Benign neoplasm,Benign neoplasm,neoplasm,Neoplasms,rule
Blood cholesterol increased,Blood cholesterol increased,laboratory,Laboratory and investigation,rule
Libido decreased,Libido decreased,laboratory,Laboratory and investigation,rule
Urine abnormality,Urine abnormality,laboratory,Laboratory and investigation,rule
Pulmonary congestion,Pulmonary congestion,respiratory,Respiratory,rule
Hyperchlorhydria,Hyperchlorhydria,other,Other / manual review,fallback
Brain oedema,Brain oedema,neurological,Nervous system and neurological,rule
Poor quality product administered,Poor quality product administered,medication_error,Medication errors and use issues,rule
Exostosis,Exostosis,other,Other / manual review,fallback
Incorrect dose administered by product,Incorrect dose administered by product,medication_error,Medication errors and use issues,rule
Akathisia,Akathisia,other,Other / manual review,fallback
Shoulder arthroplasty,Shoulder arthroplasty,other,Other / manual review,fallback
Developmental hip dysplasia,Developmental hip dysplasia,other,Other / manual review,fallback
Prostatic disorder,Prostatic disorder,other,Other / manual review,fallback
Sleep disorder due to a general medical condition,Sleep disorder due to a general medical condition,psychiatric,Psychiatric and behavioural,rule
Mean cell haemoglobin concentration increased,Mean cell haemoglobin concentration increased,laboratory,Laboratory and investigation,rule
Joint injury,Joint injury,musculoskeletal,Musculoskeletal,rule
Diabetic metabolic decompensation,Diabetic metabolic decompensation,endocrine,Endocrine and metabolic,rule
Tooth fracture,Tooth fracture,musculoskeletal,Musculoskeletal,rule
Drug-induced liver injury,Drug-induced liver injury,gastrointestinal,Gastrointestinal,rule
Rheumatoid factor positive,Rheumatoid factor positive,laboratory,Laboratory and investigation,rule
Mammoplasty,Mammoplasty,other,Other / manual review,fallback
Haematoma evacuation,Haematoma evacuation,other,Other / manual review,fallback
Blood cholesterol abnormal,Blood cholesterol abnormal,laboratory,Laboratory and investigation,rule
Nasal dryness,Nasal dryness,respiratory,Respiratory,rule
Shock haemorrhagic,Shock haemorrhagic,other,Other / manual review,fallback
Dysbiosis,Dysbiosis,other,Other / manual review,fallback
Dysmenorrhoea,Dysmenorrhoea,other,Other / manual review,fallback
Congenital nose malformation,Congenital nose malformation,other,Other / manual review,fallback
Intervertebral disc disorder,Intervertebral disc disorder,musculoskeletal,Musculoskeletal,rule
Blood thyroid stimulating hormone increased,Blood thyroid stimulating hormone increased,laboratory,Laboratory and investigation,rule
Madarosis,Madarosis,other,Other / manual review,fallback
Intercepted product preparation error,Intercepted product preparation error,other,Other / manual review,fallback
Atrophy,Atrophy,other,Other / manual review,fallback
Blood homocysteine increased,Blood homocysteine increased,laboratory,Laboratory and investigation,rule
Blood calcium increased,Blood calcium increased,laboratory,Laboratory and investigation,rule
Drug delivery system issue,Drug delivery system issue,gastrointestinal,Gastrointestinal,rule
Methaemoglobinaemia,Methaemoglobinaemia,haematology,Blood and lymphatic,rule
Thirst,Thirst,other,Other / manual review,fallback
False positive investigation result,False positive investigation result,laboratory,Laboratory and investigation,rule
Nasal discomfort,Nasal discomfort,respiratory,Respiratory,rule
Tumour lysis syndrome,Tumour lysis syndrome,neoplasm,Neoplasms,rule
Immunodeficiency,Immunodeficiency,immune_inflammatory,Immune and inflammatory,rule
Trismus,Trismus,other,Other / manual review,fallback
Lower limb fracture,Lower limb fracture,musculoskeletal,Musculoskeletal,rule
Oral fungal infection,Oral fungal infection,infection,Infections,rule
Reversible airways obstruction,Reversible airways obstruction,respiratory,Respiratory,rule
Cytomegalovirus viraemia,Cytomegalovirus viraemia,infection,Infections,rule
Joint noise,Joint noise,musculoskeletal,Musculoskeletal,rule
Tendon rupture,Tendon rupture,musculoskeletal,Musculoskeletal,rule
Tooth abscess,Tooth abscess,other,Other / manual review,fallback
Incision site pain,Incision site pain,device,Device and procedure-related,rule
Haemolysis,Haemolysis,haematology,Blood and lymphatic,rule
Refusal of treatment by patient,Refusal of treatment by patient,other,Other / manual review,fallback
Atrioventricular block first degree,Atrioventricular block first degree,cardiovascular,Cardiovascular,rule
Hypertrophic cardiomyopathy,Hypertrophic cardiomyopathy,other,Other / manual review,fallback
Immune-mediated enterocolitis,Immune-mediated enterocolitis,infection,Infections,rule
Pancreas infection,Pancreas infection,infection,Infections,rule
Gastrointestinal bacterial overgrowth,Gastrointestinal bacterial overgrowth,infection,Infections,rule
Anorgasmia,Anorgasmia,other,Other / manual review,fallback
Sensory loss,Sensory loss,other,Other / manual review,fallback
Acute generalised exanthematous pustulosis,Acute generalised exanthematous pustulosis,other,Other / manual review,fallback
Dermatitis bullous,Dermatitis bullous,dermatological,Skin and subcutaneous tissue,rule
Actinic keratosis,Actinic keratosis,other,Other / manual review,fallback
Energy increased,Energy increased,laboratory,Laboratory and investigation,rule
Dust allergy,Dust allergy,immune_inflammatory,Immune and inflammatory,rule
Radius fracture,Radius fracture,musculoskeletal,Musculoskeletal,rule
Carbohydrate antigen 15-3 increased,Carbohydrate antigen 15-3 increased,laboratory,Laboratory and investigation,rule
Malabsorption from application site,Malabsorption from application site,device,Device and procedure-related,rule
Dysentery,Dysentery,other,Other / manual review,fallback
B-cell lymphoma,B-cell lymphoma,neoplasm,Neoplasms,rule
Jaw fracture,Jaw fracture,musculoskeletal,Musculoskeletal,rule
Mean cell haemoglobin decreased,Mean cell haemoglobin decreased,laboratory,Laboratory and investigation,rule
Intestinal pseudo-obstruction,Intestinal pseudo-obstruction,laboratory,Laboratory and investigation,rule
Laboratory test interference,Laboratory test interference,laboratory,Laboratory and investigation,rule
Vocal cord dysfunction,Vocal cord dysfunction,other,Other / manual review,fallback
Blood urea nitrogen/creatinine ratio increased,Blood urea nitrogen/creatinine ratio increased,laboratory,Laboratory and investigation,rule
Dieulafoy^s vascular malformation,Dieulafoy's vascular malformation,cardiovascular,Cardiovascular,rule
Pancreatitis necrotising,Pancreatitis necrotising,gastrointestinal,Gastrointestinal,rule
Abscess rupture,Abscess rupture,other,Other / manual review,fallback
Sleep talking,Sleep talking,psychiatric,Psychiatric and behavioural,rule
Allergic reaction to excipient,Allergic reaction to excipient,immune_inflammatory,Immune and inflammatory,rule
Glomerulonephritis,Glomerulonephritis,renal_urinary,Renal and urinary,rule
Hypoglycaemia neonatal,Hypoglycaemia neonatal,pregnancy,Pregnancy and perinatal,rule
Spontaneous haematoma,Spontaneous haematoma,other,Other / manual review,fallback
Dysfunctional uterine bleeding,Dysfunctional uterine bleeding,reproductive,Reproductive and breast,rule
Abdominal sepsis,Abdominal sepsis,infection,Infections,rule
Cataract congenital,Cataract congenital,other,Other / manual review,fallback
Subcutaneous haematoma,Subcutaneous haematoma,other,Other / manual review,fallback
Rash maculo-papular,Rash maculo-papular,dermatological,Skin and subcutaneous tissue,rule
Corneal dystrophy,Corneal dystrophy,ocular,Eye and vision,rule
Musculoskeletal chest pain,Musculoskeletal chest pain,general,General symptoms,rule
Toxic skin eruption,Toxic skin eruption,dermatological,Skin and subcutaneous tissue,rule
Musculoskeletal discomfort,Musculoskeletal discomfort,general,General symptoms,rule
Gastrointestinal toxicity,Gastrointestinal toxicity,laboratory,Laboratory and investigation,rule
Photosensitivity reaction,Photosensitivity reaction,other,Other / manual review,fallback
Wrong schedule,Wrong schedule,other,Other / manual review,fallback
Labelled drug-drug interaction medication error,Labelled drug-drug interaction medication error,medication_error,Medication errors and use issues,rule
Osteitis,Osteitis,other,Other / manual review,fallback
Vitamin D deficiency,Vitamin D deficiency,endocrine,Endocrine and metabolic,rule
Bone density abnormal,Bone density abnormal,laboratory,Laboratory and investigation,rule
Hepatomegaly,Hepatomegaly,other,Other / manual review,fallback
Hepatic enzyme increased,Hepatic enzyme increased,laboratory,Laboratory and investigation,rule
Escherichia infection,Escherichia infection,infection,Infections,rule
Inflammatory marker increased,Inflammatory marker increased,laboratory,Laboratory and investigation,rule
Congestive cardiomyopathy,Congestive cardiomyopathy,other,Other / manual review,fallback
Scab,Scab,other,Other / manual review,fallback
Impulse-control disorder,Impulse-control disorder,other,Other / manual review,fallback
Vasculitis,Vasculitis,immune_inflammatory,Immune and inflammatory,rule
Rhinovirus infection,Rhinovirus infection,infection,Infections,rule
Foetal heart rate decreased,Foetal heart rate decreased,pregnancy,Pregnancy and perinatal,rule
Intentional underdose,Intentional underdose,medication_error,Medication errors and use issues,rule
Toxic epidermal necrolysis,Toxic epidermal necrolysis,other,Other / manual review,fallback
Mood altered,Mood altered,psychiatric,Psychiatric and behavioural,rule
Metastases to central nervous system,Metastases to central nervous system,neoplasm,Neoplasms,rule
Somatic symptom disorder,Somatic symptom disorder,other,Other / manual review,fallback
Liver function test increased,Liver function test increased,laboratory,Laboratory and investigation,rule
Decreased immune responsiveness,Decreased immune responsiveness,laboratory,Laboratory and investigation,rule
Palindromic rheumatism,Palindromic rheumatism,other,Other / manual review,fallback
Bladder disorder,Bladder disorder,renal_urinary,Renal and urinary,rule
Motor developmental delay,Motor developmental delay,other,Other / manual review,fallback
Lymphatic disorder,Lymphatic disorder,other,Other / manual review,fallback
Hydronephrosis,Hydronephrosis,renal_urinary,Renal and urinary,rule
Gastric cancer,Gastric cancer,neoplasm,Neoplasms,rule
